Sorry,136.00,-8.648985307663693,0,311.1269837220808,0
the lazy song,172.27,-10.823371521637748,0,493.8833012561241,0
till the words ends,129.20,-20.04464669783558,1,261.6255653005985,0
jailhouse rock,83.35,-15.997287661330432,1,311.1269837220808,0
setember,123.05,-21.291704851599032,1,369.99442271163434,0
Girl on Fire,92.29,-10.80587913106057,1,369.99442271163434,1
someone like you,136.00,-14.21122380674653,1,369.99442271163434,1
thousend years,136.00,-17.78835374261398,0,466.1637615180899,1
my heart will go on,99.38,-17.067069790835887,1,440.0,1
when was your man,73.83,-14.175904219357145,0,261.6255653005985,1
