3273,7708094255568
2325,511918401994
2221,378316272009
2237,905638648806
2362,5005876788614
2413,891081487105
2598,3471875012356
3555,801414642961
2254,2485241362974
2728,6828561812295
2453,681167172462
2806,165288688632
2854,676897375753
2708,1552352733593
2930,249634523597
2198,1681629055756
2122,2690219844844
3348,5982261621475
2969,6106644383867
2582,9979276754057
2554,9223866241164
2432,7599671849675
2855,756149946263
2496,645404391882
3278,7459183648825
2987,0154725683665
2657,4706747468017
2517,3710444047856
2699,9408334715527
2112,4104050164465
2675,9958791347103
2683,028141747526
2496,2706035347032
2180,5062484250143
2829,8482384414147
2807,9423200050205
2775,1740892853595
2776,5876945080404
2315,306098000093
3118,2995805641385
3525,9652750371647
2862,8940241934224
2982,607363502299
3244,0813349193445
2200,8579617051387
2519,5699789872174
2650,678954418444
2690,0688344504765
2519,8080619647126
2198,752900212249
===============================================================================
1659,5871243848446
2495,3160134753184
2173,898700164965
1391,9029898024266
1182,604739673427
2463,1644013182786
1800,1915983410165
2080,9648907855635
1764,6906584049702
1225,1005061316275
1266,7823303611926
1747,886788733868
2021,8862563722219
1563,4708101466877
1659,1065105714943
1845,1866678289914
1659,2383265905762
1742,2220935097466
1906,507897017844
2433,531511656875
2115,301068271305
1834,320689377935
1868,1766326730872
1766,1793851494008
2182,221481165614
1656,9533593108538
1932,987439770391
1389,3030057349918
1479,6007413477653
1583,4958226818947
2873,118506112565
1579,0051134957023
2388,0093112817935
1580,7621695099729
2151,1364475649502
2418,6901749309645
1793,7864237318997
1861,487095675914
2405,029147624545
1803,003794612612
1714,900334350024
2282,487215009314
2269,888304677608
1615,6421177596778
2364,5045103957646
1722,0775845452185
2110,3154441885818
2222,4145122347586
1546,4745916943189
